spa-30-09932508-n	minero del carbón
spa-30-09932892-n	co-autor
spa-30-09932892-n	coautor
spa-30-09933098-n	zapatera
spa-30-09933098-n	zapatero
spa-30-09933411-n	codemandado
spa-30-09933613-n	windtalker
spa-30-09934774-n	peluquero
spa-30-09934846-n	peluquera
spa-30-09934921-n	moneyer
spa-30-09935233-n	acuñador ilegal
spa-30-09936362-n	cobrador
spa-30-09937250-n	coronel
spa-30-09938080-n	coloratura
spa-30-09938080-n	coloratura soprano
spa-30-09938272-n	abanderada
spa-30-09938272-n	abanderado
spa-30-09939154-n	articulista
spa-30-09939154-n	columnista
spa-30-09939154-n	editorialista
spa-30-09940146-n	comediante
spa-30-09940146-n	cómic
spa-30-09940146-n	cómico
spa-30-09940146-n	humorista
spa-30-09940725-n	comediante
spa-30-09940818-n	cómica
spa-30-09940987-n	comedianta
spa-30-09941172-n	ianfu
spa-30-09941571-n	comandante
spa-30-09941787-n	comandante en jefe
spa-30-09941787-n	generalísimo
spa-30-09941964-n	comandante
spa-30-09941964-n	oficial al mando
spa-30-09942275-n	comando
spa-30-09942275-n	montaraz
spa-30-09942431-n	comentarista
spa-30-09942587-n	artista comercial
spa-30-09942697-n	comisario político
spa-30-09942871-n	conserje
spa-30-09942871-n	portero
spa-30-09942970-n	oficial
spa-30-09942970-n	oficial comisionado
spa-30-09943239-n	oficial
spa-30-09943239-n	oficial militar
spa-30-09943239-n	oficial militar comisionado
spa-30-09943541-n	oficial de marina
spa-30-09943541-n	oficial naval
spa-30-09943541-n	oficial naval comisionado
spa-30-09943811-n	comisionado
spa-30-09945021-n	comodoro
spa-30-09946814-n	presentador
spa-30-09946957-n	enciclopedista
spa-30-09947232-n	compositor
spa-30-09947232-n	compositora
spa-30-09949946-n	cajista
spa-30-09949946-n	compositor
spa-30-09949946-n	linotipista
spa-30-09949946-n	tipógrafo
spa-30-09951070-n	informático
spa-30-09951717-n	concesionario
spa-30-09951953-n	conserje
spa-30-09952539-n	conductor
spa-30-09952539-n	director
spa-30-09952539-n	directora
spa-30-09952539-n	director de orquesta
spa-30-09953052-n	cobrador
spa-30-09953052-n	conductor
spa-30-09953178-n	preparador físico
spa-30-09953350-n	confitero
spa-30-09953350-n	dulcero
spa-30-09953350-n	pastelero
spa-30-09953350-n	repostero
spa-30-09953775-n	confederado
spa-30-09953775-n	soldado confederado
spa-30-09954355-n	confesante
spa-30-09954355-n	confesor
spa-30-09954355-n	penitenciario
spa-30-09955944-n	rep.
spa-30-09956035-n	contacto
spa-30-09956035-n	enlace
spa-30-09959142-n	agente de policía
spa-30-09959142-n	jefe de policía
spa-30-09959797-n	cónsul
spa-30-09960117-n	contacto
spa-30-09960117-n	enlace
spa-30-09960117-n	intermediario
spa-30-09960688-n	contratista
spa-30-09960891-n	contratista
spa-30-09961198-n	contralto
spa-30-09962612-n	conveyancer
spa-30-09963320-n	cocinera
spa-30-09963320-n	cocinero
spa-30-09963574-n	chef
spa-30-09963574-n	cocinero
spa-30-09963680-n	intendente
spa-30-09963773-n	barrilero
spa-30-09963773-n	candiotero
spa-30-09963773-n	carralero
spa-30-09963773-n	cubero
spa-30-09963773-n	tonelero
spa-30-09963914-n	coordinador
spa-30-09963914-n	coordinadora
spa-30-09964202-n	co-piloto
spa-30-09964202-n	copiloto
spa-30-09964315-n	artesano del cobre
spa-30-09964315-n	calderera
spa-30-09964315-n	calderero
spa-30-09964315-n	cobrero
spa-30-09964659-n	corrector
spa-30-09964805-n	amanuense
spa-30-09964805-n	copiador
spa-30-09964805-n	copiante
spa-30-09964805-n	copista
spa-30-09964805-n	escriba
spa-30-09964805-n	escribano
spa-30-09964805-n	escribiente
spa-30-09964805-n	plumista
spa-30-09965021-n	copywriter
spa-30-09965021-n	redactor
spa-30-09965021-n	redactor publicitario
spa-30-09965424-n	maestro cocinero
spa-30-09966139-n	cabo
spa-30-09966139-n	caporal
spa-30-09966139-n	corporal
spa-30-09966255-n	director de empresa
spa-30-09966710-n	corresponsal
spa-30-09966710-n	newspaperwoman
spa-30-09966710-n	newswriter
spa-30-09966710-n	periodista
spa-30-09966710-n	redactor de noticias
spa-30-09966941-n	bucanero
spa-30-09966941-n	corsario
spa-30-09966941-n	corsario de Berbería
spa-30-09966941-n	filibustero
spa-30-09966941-n	pirata
spa-30-09967063-n	cosmetólogo
spa-30-09967270-n	cirujano plástico
spa-30-09967816-n	contable de costos
spa-30-09967967-n	coestrella
spa-30-09967967-n	coprotagonista
spa-30-09968259-n	figurinista
spa-30-09968259-n	sastre de teatro
spa-30-09968741-n	cottar
spa-30-09968741-n	cotter
spa-30-09969718-n	dependienta
spa-30-09969718-n	dependiente
spa-30-09969718-n	vendedor
spa-30-09970192-n	agente doble
spa-30-09970192-n	contraespía
spa-30-09970192-n	counterspy
spa-30-09970192-n	informante
spa-30-09970192-n	topo
spa-30-09970295-n	contratenor
spa-30-09971385-n	agente agrónomo
spa-30-09971385-n	asesor agrónomo
spa-30-09971595-n	coureur de bois
spa-30-09971839-n	áulico
spa-30-09971839-n	cortesano
spa-30-09971839-n	palaciego
spa-30-09972157-n	diseñador
spa-30-09972157-n	diseñador de moda
spa-30-09972157-n	modisto
spa-30-09972458-n	pin-up
spa-30-09972661-n	cowboy
spa-30-09972661-n	gaucho
spa-30-09972661-n	huaso
spa-30-09972661-n	llanero
spa-30-09972661-n	vaquero
spa-30-09973072-n	corredor de rodeo
spa-30-09973072-n	cowboy
spa-30-09973072-n	vaquero
spa-30-09973209-n	vaquero
spa-30-09973422-n	vaquera
spa-30-09973422-n	vaquero
spa-30-09973624-n	timonel
spa-30-09973903-n	coyote
spa-30-09974648-n	artesana
spa-30-09974648-n	artesano
spa-30-09974648-n	artífice
spa-30-09974648-n	oficial
spa-30-09975425-n	artesano
